,title_english,imdb_rating,votes_imdb,metascore,year,director,stars,imdb_trust
16117,Cartoon Klassiker - Vol. 2: 25 Lieblings Cartoons aus Amerika - 3 Stunden,"7,8",7.0,,2017,,,False
16118,Two Pennies,,,,2018,Ken Mary,"Lyla Stewart, Sidney Stewart, Vikki Jordan, Ken Mary",False
16119,Ace wo Nerae!,"6,9",64.0,,1979,Osamu Dezaki,"Makoto Kôsaka, Nachi Nozawa, Masako Ikeda, Katsuji Mori",False
16120,Dom dlya Kuzki (1984 TV Short),"7,6",493.0,,1984,Aida Zyablikova,"Aleksandr Lenkov, Eleonora Prokhnitskaya, Svetlana Travkina, Georgiy Vitsin",False
16121,The Messy Adventures of Mud,,,,,Sirena Irwin,"Kevin Michael Richardson, Cree Summer, Dee Bradley Baker, Zehra Fazal",False
16122,Star Wars: New Horizons,,,,,Giovanni Michael,"James Hare, Dragonia",False
16123,The Uncertain Kingdom,"7,6",10.0,,2020,"Jason Bradbury, Stroma Cairns, Antonia Campbell-Hughes, Hope Dickson Leach, Ellen Evans, Paul Frankl, Alison Hargreaves, Guy Jenkin, Sophie King, Rebecca Lloyd-Evans, Iggy London, Lanre Malaolu, Runyararo Mapfumo, Lab Ky Mo, Leon Oldstrong, Ray Panthaki, David Proud, Carol Salter, Jason Wingard","Sally Bretton, Hugh Dennis, Steve Evets, Andy Hamilton",False
16124,The Shadow Over Innsmouth (2009 Video),,,,2009,,,False
16125,Ever After High: True Hearts Day (2014 TV Movie),"7,8",207.0,,2014,"Brandon James Scott, Dan Fraga","Valerie Arem, Laura Bailey, Cam Clarke, Erin Fitzgerald",False
16126,Science Friction,"4,9",43.0,,1970,Gerry Chiniquy,John Byner,False
16127,Rat-Man,"7,3",25.0,,2006,,"Andrea Ward, Ambrogio Colombo, Saverio Maria Indrio, Oliviero Dinelli",False
16128,Mickey's Follies,"5,6",530.0,,1929,"Ub Iwerks, Wilfred Jackson","Ann Hovey, Walt Disney",False
16129,In a World of Bad Breath,,,,2017,Christopher Graybill,Oates Wu,False
16130,Turning Mecard W: Vandyne-ui Bimil - Teugbyeolpan,"8,7",11.0,,2018,Heon Pyo Hong,So Yeon,False
16131,Pulgarcito y Pulgarcita (1996 Video),"6,8",213.0,,1996,,,False
16132,Tall in the Trap,"5,1",380.0,,1962,Gene Deitch,Allen Swift,False
16133,Funny Pets 2,"5,9",113.0,,2018,Alex Sebastian,"Carrie Drovdlic, Kj Schrock",False
16134,Chips Ahoy,"7,2",559.0,,1956,Jack Kinney,"Dessie Flynn, Clarence Nash, Norma Swank",False
16135,Zupt! com o Senninha,"7,5",35.0,,2015,,Fatima Noya,False
16136,Armored Trooper VOTOMS: Pailsen Files,"6,5",21.0,,2007,,,False
16137,Sesame Street: The Nutcracker (2022 TV Movie),"7,0",14.0,,2022,Joanna Hepworth,"Tyler Bunch, Leslie Carrara-Rudolph, Stephanie D'Abruzzo, Ryan Dillon",False
16138,Kimi ga aruji de shitsuji ga ore de,"6,1",143.0,,2008,,"Shizuka Itô, Tomokazu Seki, Yûko Gotô, Shizuka Minamori",False
16139,Captain Detroit,,,,1966,,"Johnny Ginger, Tom Ryan",False
16140,Ani Tore! EX,"4,6",60.0,,2015,,"Azumi Waki, Miku Itou, Maria Naganawa, Kanon Takao",False
16141,Maugli. Pokhishchenie,"7,9",644.0,,1968,Roman Davydov,"Mariya Vinogradova, Vladimir Ushakov, Sergey Martinson, Lyudmila Kasatkina",False
16142,Gaikotsu Shotenin Honda-san,"6,8",237.0,,2018,,"Sôma Saitô, Yûko Sanpei, Shizuka Itô, Eri Kitamura",False
16143,The Three Bears,"6,3",163.0,,1935,"Ub Iwerks, Shamus Culhane, Al Eugster",Sara Berner,False
16144,Le Coq de St-Victor,"5,8",140.0,,2014,Pierre Greco,"Paul Ahmarani, Benoît Brière, Anne Dorval, Luc Guérin",False
16145,Monty the Dog,,,,1995,,Griff Rhys Jones,False
16146,The Kabocha Wine,"8,5",38.0,,1982,,"Toshio Furukawa, Keiko Yokozawa, Hiroshi Ôtake, Masaharu Satô",False
16147,Virtual Oz (1996 Video),"6,8",34.0,,1996,"Keith Ingham, Eul-sung Kim, Sung Ki Park, Young Dan Yang","Shay Astar, Shayna Fox, Eric Lloyd, Aaron Michael Metchik",False
16148,Aliens,,,,2018,Nik Tyler,Paul Wesley,False
16149,The Great De Gaulle Stone Operation,"6,7",158.0,,1965,"Friz Freleng, Gerry Chiniquy","Pat Harrington Jr., Paul Frees, Larry Storch",False
16150,Arnold Rides His Chair (1991 TV Short),"6,2",123.0,,1991,,,False
16151,Hlapiceve nove zgode,"7,2",65.0,,2000,,"Barbara Rocco, Jasna Palic-Picukaric, Zarko Savic, Tarik Filipovic",False
16152,Waccha PriMagi!,"6,4",7.0,,2021,,"Hirose Chinatsu, Riko Koike, Saho Aono, Minori Fujikura",False
16153,The Emerald City of Oz (1987 Video),"7,6",52.0,,1987,Tim Reid,"Morgan Hallett, Margot Kidder",False
16154,TekWar,,,,2023,,,False
16155,Torbellino va a la guerra,"7,2",69.0,,1968,,,False
16156,Fred and Barney Meet the Shmoo,"6,3",73.0,,1979,,"John Stephenson, Frank Welker, Mel Blanc, Chuck McCann",False
16157,William Shatner War Chronicles: German,,,,2015,Gary Laird,William Shatner,False
16158,Chertyonok s pushistym khvostom,"6,9",60.0,,1985,Anatoliy Reznikov,"Evgeniy Evstigneev, Boris Novikov",False
16159,The Mad Hatter,"6,4",164.0,,1940,Sid Marcus,"Mel Blanc, John Wald",False
16160,Christina Aguilera: Reflection (1998 Music Video),"6,8",70.0,,1998,Tony Bancroft,Christina Aguilera,False
16161,Macross 7: Ginga ga ore o yondeiru!,"6,4",163.0,,1995,Tetsurô Amino,"Nobutoshi Canna, Yô Inoue, Takehito Koyasu, Satomi Kôrogi",False
16162,Peppa Pig: My Birthday Party (2002 Video),"7,0",21.0,,2002,,"Morwenna Banks, Alice May, Oliver May, Richard Ridings",False
16163,DC Super Hero Girls: Teen Power (2021 Video Game),"6,9",22.0,,2021,,"Kimberly Brooks, Grey Griffin, Mallory Low, Cristina Milizia",False
16164,Welcome to 8th Street,"9,2",10.0,,2023,Yoo Lee,"Debra Cardona, Robin Daniels, Barbara Goodson, Michelle Sohn",False
16165,Thomas & Friends: Marvelous Machinery,"5,5",19.0,,2020,Joey So,"Laura Beaumont, Jules de Jongh, Teresa Gallagher, Bob Golding",False
16166,Strega Nona,"7,5",22.0,,1977,Gene Deitch,"Eduard Cupák, Rex Robbins",False
16167,Edith Ann: A Few Pieces of the Puzzle (1994 TV Short),"8,2",50.0,,1994,Tamara Varga,"Lily Tomlin, Thom Sharp, Pamela Adlon, Amy Ziff",False
16168,Bottles,"7,0",276.0,,1936,Hugh Harman,"The Guardsmen Quartet, Bernice Hansen, Rudolf Ising, Delos Jewkes",False
16169,Muteki Kôjin Daitân 3,"7,7",161.0,,1978,,"Hirotaka Suzuoki, Kôichi Kitamura, Fuyumi Shiraishi, Mieko Nobusawa",False
16170,The Amazing Adventures of Inspector Gadget (1986 Video),"7,7",79.0,,1986,,"Don Adams, Holly Berger, Frank Welker, Louis Nye",False
16171,Tomfoolery,"7,8",45.0,,1970,,"Peter Hawkins, Bernard Spear",False
16172,Steve Reviews,"8,8",26.0,,2014,,Steve Simpson,False
16173,Uta kata,"6,7",57.0,,2004,,"Nobutoshi Canna, Nobuo Tobita, Masumi Asano, Maria Kawamura",False
16174,The Happy Pirates,,,,1952,,"Dick Baker, Joseph White, Art Hern",False
16175,Lisa,"6,9",46.0,,1998,,Gösta Ekman,False
16176,Seton dôbutsuki,"8,0",31.0,,1989,,"Kôji Nakata, Yoshino Takamori, Kazuhiro Nakata, Toshiko Sawada",False
16177,Arei no kagami,"6,0",22.0,,1985,"Kôzô Morishita, Leiji Matsumoto","Yôko Asagami, Reiko Mutô, Hideyuki Tanaka, Keiko Toda",False
16178,Bangers and Mash,"7,8",82.0,,1989,,Jonathan Kydd,False
16179,Twin Brothers,,,,2022,,"Curt Hilton, Ty Anderson, Kayla Pitts",False
16180,Black Slide,"7,0",245.0,,2021,Uri Lotan,"Ivri Shai, Rom Shemesh, Varda Shpin Gross, Dvir Benedek",False
16181,Fiesta en el jardín,"7,3",1954.0,,2017,,,False
16182,Casper and Wendy's Ghostly Adventures (2002 Video),"7,1",47.0,,2002,,"Jackson Beck, Bradley Bolke, Gilbert Mack, Norma MacMillan",False
16183,Duel Personality,"6,2",446.0,,1966,"Chuck Jones, Maurice Noble","June Foray, Mel Blanc, Chuck Jones",False
16184,Mis vecinos reales,"9,0",13.0,,2021,,"Sophie O'Brien, Mary Murray, Dani Russell Masterson, Neill Fleming",False
16185,Pumuckl und sein Zirkusabenteuer,"5,5",115.0,,2003,Peter Weissflog,"Hans Clarin, Christine Neubauer, Sunnyi Melles, Nikolaus Paryla",False
16186,Weird-Ohs,"6,1",43.0,,1999,,"Mark Acheson, Kathleen Barr, Garry Chalk, Ian James Corlett",False
16187,R Rated Frozen (2017 Video),"4,4",19.0,,2017,Benny Fine,"Sydney Bergerson, Anna Brisbin, Benny Fine, Dorah Fine",False
16188,Ikimono-san,,,,2023,,,False
16189,El Cascanueces (2015 Video),"4,4",228.0,,2015,Eduardo Schuldt,"Alicia Silverstone, Edward Asner, Drake Bell, Karen Strassman",False
