mal_id,name,score,genres,english_name,japanese_name,type,episodes,aired,premiered,producers,licensors,studios,source,duration,rating,ranked,members,director,producer
564,Puni Puni☆Poemii,6.56,"Comedy, Magic, Sci-Fi, Shounen",Puni Puni Poemy,ぷにぷに☆ぽえみぃ,OVA,2,"Mar 7, 2001 to Dec 19, 2001",Unknown,Victor Entertainment,ADV Films,J.C.Staff,Original,30 min. per ep.,R+ - Mild Nudity,5580.0,29034,Shinichi Watanabe,Shigeru KitayamaYuji Matsukura
566,Tetsuwan Birdy,7.11,"Action, Comedy, Sci-Fi, Shounen",Birdy the Mighty,鉄腕バーディー,OVA,4,"Jul 25, 1996 to Feb 25, 1997",Unknown,Bandai Visual,Central Park Media,Madhouse,Manga,33 min. per ep.,PG-13 - Teens 13 or older,3151.0,24973,Kazuki Akane,Narue Minami
567,The Big O,7.53,"Action, Sci-Fi, Mystery, Psychological, Mecha",The Big O,THEビッグオー,TV,26,"Oct 13, 1999 to Mar 27, 2003",Fall 1999,Bandai Visual,"Bandai Entertainment, Sentai Filmworks",Sunrise,Original,24 min. per ep.,PG-13 - Teens 13 or older,1496.0,75574,Kazuyoshi Katayama,Charles McCarterAtsushi SugitaChieo OhashiEiji Sashita
569,Musekinin Kanchou Tylor,7.87,"Military, Sci-Fi, Space, Comedy, Parody",The Irresponsible Captain Tylor,無責任艦長タイラー,TV,26,"Jan 25, 1993 to Jul 19, 1993",Winter 1993,"VAP, Big West, King Records, Media Rings, TV Setouchi",Nozomi Entertainment,Tatsunoko Production,Light novel,23 min. per ep.,PG-13 - Teens 13 or older,720.0,38239,Hiroshi Kimura,Koji Sawai
573,Saber Marionette J,7.35,"Action, Adventure, Comedy, Drama, Harem, Martial Arts, Mecha, Romance, Sci-Fi, Shounen",Saber Marionette J,セイバーマリオネットJ,TV,25,"Oct 1, 1996 to Mar 25, 1997",Fall 1996,"TV Tokyo, Bandai Visual, Hal Film Maker, Sotsu",Bandai Entertainment,Studio Junio,Original,25 min. per ep.,PG-13 - Teens 13 or older,2100.0,26429,Masami Shimoda,Noriko KobayashiShinjirō Yokoyama
574,Rean no Tsubasa,5.74,"Sci-Fi, Fantasy, Mecha",The Wings of Rean,リーンの翼,ONA,6,"Dec 16, 2005 to Aug 18, 2006",Unknown,"Bandai Visual, Atelier Musa, Bandai Channel","Bandai Entertainment, Bandai Visual USA",Sunrise,Novel,24 min. per ep.,PG-13 - Teens 13 or older,9033.0,3255,Yoshiyuki Tomino,
577,Kagi Hime Monogatari: Eikyuu Alice Rondo,6.21,"Fantasy, Magic",Eternal Alice,鍵姫物語 永久アリス輪舞曲,TV,13,"Jan 4, 2006 to Mar 29, 2006",Winter 2006,Mellow Head,Discotek Media,"Trinet Entertainment, Picture Magic",Manga,24 min. per ep.,PG-13 - Teens 13 or older,7303.0,7335,Nagisa Miyazaki,Saburo OmiyaTakashi NakanishiKousaku Sakamoto
588,Itsudatte My Santa!,5.96,"Ecchi, Fantasy, Romance, Comedy, Shounen",Itsudatte My Santa!,いつだってMyサンタ！,OVA,2,"Dec 7, 2005",Unknown,"Three Fat Samurai, Sol Blade",Funimation,TNK,Manga,28 min. per ep.,R+ - Mild Nudity,8360.0,11800,Noriyoshi Nakamura,
591,Amaenaide yo!!,6.5,"Comedy, Ecchi, Harem, Romance, Supernatural",Ah My Buddha,あまえないでよっ!!,TV,12,"Jul 1, 2005 to Sep 16, 2005",Summer 2005,Unknown,"Nozomi Entertainment, Media Blasters",Studio Deen,Manga,24 min. per ep.,R+ - Mild Nudity,5872.0,65572,Keitaro Motonaga,Keiji HamadaMachiko Fujiwara
593,Mugen no Ryvius,7.48,"Drama, Mecha, Military, Psychological, Sci-Fi, Space",Infinite Ryvius,無限のリヴァイアス,TV,26,"Oct 6, 1999 to Mar 29, 2000",Fall 1999,"TV Tokyo, Bandai Visual, Yomiko Advertising","Bandai Entertainment, Sentai Filmworks",Sunrise,Original,23 min. per ep.,PG-13 - Teens 13 or older,1647.0,36580,Gorō Taniguchi,
